..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg,3,7
..\..\JOCN-master\task a\images\keebler_cheese_and_peanut_butter.jpg,3,7
..\..\JOCN-master\task a\images\sun chips_garden salsa_chips.jpg,6,7
..\..\JOCN-master\task a\images\basils_duplex_sandwich_cremes.jpg,3,4
..\..\JOCN-master\task a\images\fig_newtons.jpg,3,7
..\..\JOCN-master\task a\images\skinny_pop_popcorn.jpg,4,7
..\..\JOCN-master\task a\images\baked_lays_classic.jpg,4,7
..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg,4,7
..\..\JOCN-master\task a\images\snickers_almond_bar.jpg,4,7
..\..\JOCN-master\task a\images\doritos_nacho cheesier_chips.jpg,3,7
..\..\JOCN-master\task a\images\nutrigrain_apple cinnamon_bar.jpg,2,7
..\..\JOCN-master\task a\images\pringles_cheddar_potato crisps.jpg,3,7
..\..\JOCN-master\task a\images\3 musketeers_candy bar.jpg,3,7
..\..\JOCN-master\task a\images\quakers_popped_rice_crisps.jpg,4,5
..\..\JOCN-master\task a\images\annie's_chocolate_bunny_grahams.jpg,3,7
..\..\JOCN-master\task a\images\welch's_berry.jpg,4,7
..\..\JOCN-master\task a\images\cascadian_farm_granola.jpg,4,3
..\..\JOCN-master\task a\images\nestle_butterfinger_cups.jpg,3,7
..\..\JOCN-master\task a\images\teddy_grahams_chocolate.jpg,3,7
..\..\JOCN-master\task a\images\chips_ahoy_thin_crisps.jpg,3,7
..\..\JOCN-master\task a\images\skittles_original_candy.jpg,2,7
..\..\JOCN-master\task a\images\baked_cheetos_crunchy.jpg,1,7
..\..\JOCN-master\task a\images\belvita_golden_oats.JPG,5,7
..\..\JOCN-master\task a\images\ritz_toasted_chips.jpg,5,7
..\..\JOCN-master\task a\images\fritos_original_corn chips.jpg,4,7
..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg,4,7
..\..\JOCN-master\task a\images\lays_kc masterpiece_barbecue chips.jpg,4,7
..\..\JOCN-master\task a\images\planters_salted_cashews.jpg,4,7
..\..\JOCN-master\task a\images\austin_peanut butter_cheese cracker.jpg,2,7
..\..\JOCN-master\task a\images\keebler_chips delux_cookies_crackers.jpg,2,7
..\..\JOCN-master\task a\images\kettle_salt_vinegar.jpg,5,7
..\..\JOCN-master\task a\images\boulder_kettle_olive_oil.jpg,4,5
..\..\JOCN-master\task a\images\annie's_chocolate_chip_bunny_grahams.jpg,4,7
..\..\JOCN-master\task a\images\fiber one_lemon_ bar.jpg,2,7
..\..\JOCN-master\task a\images\austin_choco creme_choc cookies.jpg,3,7
..\..\JOCN-master\task a\images\larabar_peanut putter_bar.jpg,3,3
..\..\JOCN-master\task a\images\pirates booty_aged white cheddar_ corn puffs.jpg,4,7
..\..\JOCN-master\task a\images\lance_toasty_with_pb.jpg,3,7
..\..\JOCN-master\task a\images\nuture valley_crunchy_bar.jpg,3,7
..\..\JOCN-master\task a\images\emerald_dark_chocolate_almonds.jpg,4,3
..\..\JOCN-master\task a\images\jacklinks_beef_jerky_original.jpg,7,7
..\..\JOCN-master\task a\images\cheez itz_original.jpg,7,7
..\..\JOCN-master\task a\images\homefree_vanilla_minicookies.jpg,4,2
..\..\JOCN-master\task a\images\lance_choc-o_cookies.jpg,3,2
..\..\JOCN-master\task a\images\nature_valley_granola_cups_peanut_butter.jpg,3,4
..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,3,7
..\..\JOCN-master\task a\images\sun chips_original_chips.jpg,4,7
..\..\JOCN-master\task a\images\keebler_elfin_cookies.jpg,4,5
..\..\JOCN-master\task a\images\this_popcorn_is_awesome_popcorn.jpg,4,2
..\..\JOCN-master\task a\images\mini_cheese_nips.jpg,3,7
..\..\JOCN-master\task a\images\skittles_darkside_candy.jpg,5,7
..\..\JOCN-master\task a\images\ct_crunch_cereal_bar.jpg,5,7
..\..\JOCN-master\task a\images\sensible_portions_cinnamon_apple_straws.jpg,4,3
..\..\JOCN-master\task a\images\kars_raisin_almond_cashew_mix.jpg,5,4
..\..\JOCN-master\task a\images\special_k_pastry_crisps_strawberry.jpg,5,7
..\..\JOCN-master\task a\images\emerald_cashews.jpg,4,5
..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,3,7
..\..\JOCN-master\task a\images\fiber one_oats and choc_chewy bar.jpg,4,7
..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,5,7
..\..\JOCN-master\task a\images\krave_jerky_black_cherry_bbq.jpg,7,7
..\..\JOCN-master\task a\images\belvita_banana_bread.jpg,6,7
..\..\JOCN-master\task a\images\garden_veggie straws_zesty ranch.jpg,5,7
..\..\JOCN-master\task a\images\keebler_vanilla_sugar_wafers.jpg,4,7
..\..\JOCN-master\task a\images\this_popcorn_is_awesome_aged_white_cheddar.jpg,4,3
..\..\JOCN-master\task a\images\barnum's_animal_crackers.jpg,4,7
..\..\JOCN-master\task a\images\milkyway_orginal_candy.jpg,3,7
..\..\JOCN-master\task a\images\homefree_chocolatechip_minicookies.jpg,3,3
..\..\JOCN-master\task a\images\this_popcorn_is_awesome_olive_oil.jpg,4,3
..\..\JOCN-master\task a\images\jacklinks_beef_steak.jpg,7,7
..\..\JOCN-master\task a\images\kar's_yogurt apple_nut mix.jpg,2,2
..\..\JOCN-master\task a\images\nature_valley_sweet_and_salty.jpg,3,7
..\..\JOCN-master\task a\images\garden_veggie straws_sea salt.jpg,4,7
..\..\JOCN-master\task a\images\garden_veggie straws_cheddar.jpg,4,7
..\..\JOCN-master\task a\images\nabisco_nutter butter_bites.jpg,4,7
..\..\JOCN-master\task a\images\boulder_kettle_sea_salt.jpg,6,4
..\..\JOCN-master\task a\images\fiber one_cinamon_coffee cake.jpg,4,7
..\..\JOCN-master\task a\images\popchips_ridges_tangy_bbq.jpg,4,3
..\..\JOCN-master\task a\images\baked_ruffles_cheddar &sour.JPG,4,7
..\..\JOCN-master\task a\images\nutrigrain_blueberry_bar.jpg,5,7
..\..\JOCN-master\task a\images\starburst_favereds_candy.jpg,6,7
..\..\JOCN-master\task a\images\nabisco_teddy graham_honey.jpg,4,7
..\..\JOCN-master\task a\images\basils_lemon.jpg,3,3
..\..\JOCN-master\task a\images\austin_cheddar cheese_cheese cracker.jpg,3,7
..\..\JOCN-master\task a\images\eatrageous_wasabi_ranch.jpg,4,4
..\..\JOCN-master\task a\images\popchips_sour_cream_and_onion.jpg,5,7
..\..\JOCN-master\task a\images\lance_van-o_cookies.jpg,3,4
..\..\JOCN-master\task a\images\austin_peanut_butter.jpg,3,7
..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,6,7
..\..\JOCN-master\task a\images\lance_toast_cheese_with_pb.JPG,3,6
..\..\JOCN-master\task a\images\oreo_thin_crisps.jpg,3,7
..\..\JOCN-master\task a\images\kars_all_energy.jpg,4,4
..\..\JOCN-master\task a\images\popchips_ridges_cheddar_sourcream.jpg,4,3
..\..\JOCN-master\task a\images\larabar_peanut_butter_cookie_bar.jpg,3,1
..\..\JOCN-master\task a\images\special_k_cracker_chips.jpg,4,7
..\..\JOCN-master\task a\images\kettle_jalepeno.jpg,2,7
..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,2,7
..\..\JOCN-master\task a\images\starburst_verry berry_candy.jpg,5,7
..\..\JOCN-master\task a\images\haribo_gold_bears.jpg,3,7
..\..\JOCN-master\task a\images\grandmas_vanilla sandwhich creme_cookies.jpg,4,7
..\..\JOCN-master\task a\images\annie's_honey_bunny_grahams.jpg,4,7
..\..\JOCN-master\task a\images\walkers_highlander_shortbread.jpg,5,7
..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,4,7
..\..\JOCN-master\task a\images\famous_amos_chocolate_chip.jpg,4,7
..\..\JOCN-master\task a\images\nabisco_ritz bits_cookies.jpg,7,7
..\..\JOCN-master\task a\images\hersheys_milk choc_almond.jpg,3,7
..\..\JOCN-master\task a\images\basils_peanut_butter.jpg,4,4
..\..\JOCN-master\task a\images\nabisco_mini_ritz.jpg,4,7
..\..\JOCN-master\task a\images\wheat_thins.jpg,4,7
..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg,3,7
..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,3,7
..\..\JOCN-master\task a\images\basil_vanilla.jpg,4,4
..\..\JOCN-master\task a\images\snyders_mini_pretzels.jpg,5,7
..\..\JOCN-master\task a\images\clif_z_bar.jpg,5,7
..\..\JOCN-master\task a\images\kashi_chocolate almond _bars.jpg,5,2
..\..\JOCN-master\task a\images\nutrigrain_strawberry_bar.jpg,4,7
..\..\JOCN-master\task a\images\grandmas_chocolate brownie_cookie.jpg,5,5
..\..\JOCN-master\task a\images\brookside_fruit and nut_bar.jpg,5,4
..\..\JOCN-master\task a\images\kettle_original.jpg,6,7
..\..\JOCN-master\task a\images\twix_milk chocolate_cookie bars.jpg,7,7
..\..\JOCN-master\task a\images\doritos_cool ranch_chips.jpg,5,7
..\..\JOCN-master\task a\images\popchips_barbeque.jpg,5,5
..\..\JOCN-master\task a\images\cloverhill_cheese_danish.jpg,4,2
..\..\JOCN-master\task a\images\pringles_the original_potato crisps.jpg,5,7
..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg,3,7
..\..\JOCN-master\task a\images\grandmas_oatmeal raisin_cookies.jpg,7,7
..\..\JOCN-master\task a\images\popchips_ridges_perfectly_salted.jpg,6,6
..\..\JOCN-master\task a\images\pringles_sour cream and onion_potato crisps.jpg,6,7
..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,7,7
..\..\JOCN-master\task a\images\jacklinks_beef_stick.jpg,7,7
..\..\JOCN-master\task a\images\quaker_chewy_chocolate chip.jpg,3,7
..\..\JOCN-master\task a\images\grandma's_peanut butter_cookies.jpg,4,7
..\..\JOCN-master\task a\images\jacklinks_small_batch.jpg,7,7
..\..\JOCN-master\task a\images\cliff_chocolate chip_bar.jpg,5,7
..\..\JOCN-master\task a\images\stonyfield_fruit_snacks.jpg,4,7
..\..\JOCN-master\task a\images\this_popcorn_is_awesome_crushed_pepper.jpg,4,4
..\..\JOCN-master\task a\images\nestle_butterfinger_bar.jpg,2,7
..\..\JOCN-master\task a\images\keebler_chips_deluxe.jpg,4,6
..\..\JOCN-master\task a\images\special_k_pastry_crisps_blueberry.jpg,4,7
..\..\JOCN-master\task a\images\emerald_sriracha_cashews.jpg,1,1
..\..\JOCN-master\task a\images\popchips_sea_salt.jpg,5,4
..\..\JOCN-master\task a\images\black_forest_gummies.jpg,4,3
..\..\JOCN-master\task a\images\planters_salted_peanuts.jpg,4,7
..\..\JOCN-master\task a\images\sunchips_harvest cheddar_chips.jpg,5,7
..\..\JOCN-master\task a\images\kettle_bbq.jpg,4,7
..\..\JOCN-master\task a\images\kind_almond_butter.jpg,5,7
..\..\JOCN-master\task a\images\krave_jerky_sweet_chipotle.jpg,7,7
..\..\JOCN-master\task a\images\larabar_cashew_cookie_bar.jpg,3,1
..\..\JOCN-master\task a\images\welch's_tropical_fruits.jpg,3,7
..\..\JOCN-master\task a\images\mini_fudge_stripes.jpg,4,7
..\..\JOCN-master\task a\images\baked_lays_barbeque.jpg,5,7
..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,4,7
..\..\JOCN-master\task a\images\slim_jim.jpg,7,7
..\..\JOCN-master\task a\images\nabisco_nutter butter_cookies and crackers.jpg,3,7
..\..\JOCN-master\task a\images\stonyfield_fruit snacks.jpg,3,7
..\..\JOCN-master\task a\images\krave_jerky_original.jpg,7,7
..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,3,7
..\..\JOCN-master\task a\images\homefree_doublechocolatechip_minicookies.jpg,3,2
..\..\JOCN-master\task a\images\combos_cheddar cheese_pretzel.jpg,5,7
..\..\JOCN-master\task a\images\kar's_sweet'n spicy_mix.jpg,4,2
..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,4,7
..\..\JOCN-master\task a\images\krave_jerky_chili_lime.jpg,7,7
..\..\JOCN-master\task a\images\quaker_chewy_dark choc chunk.jpg,4,7
..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,6,7
